2023.05.10 12:20:38 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2023.05.10 12:20:39 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action saml/validation_init
2023.05.10 12:20:39 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2023.05.10 12:20:39 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2023.05.10 12:20:39 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2023.05.10 12:20:39 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2023.05.10 12:20:39 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2023.05.10 12:20:39 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2023.05.10 12:20:39 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2023.05.10 12:20:39 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2023.05.10 12:20:39 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2023.05.10 12:20:39 INFO  web[][o.s.w.s.DispatcherServlet] Initializing Servlet 'app'
2023.05.10 12:20:41 INFO  web[][o.s.w.s.DispatcherServlet] Completed initialization in 1304 ms
2023.05.10 12:20:41 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2023.05.10 12:20:41 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2023.05.10 12:20:41 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2023.05.10 12:20:41 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@579bc00a [pattern=UrlPattern{inclusions=[/api/*], exclusions=[/api/v2/*]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@57aeaeb0 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@684e997b [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@277cfac4 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@2eeef5b1 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.SamlValidationRedirectionFilter@c9705f2 [pattern=UrlPattern{inclusions=[/oauth2/callback/saml], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@108ed05a [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@50e4a255 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@2d1eaac [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@3b0534c5 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@58a06abf [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationInitAction@7897c317 [pattern=UrlPattern{inclusions=[/saml/validation_init], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationAction@3ea8ef97 [pattern=UrlPattern{inclusions=[/saml/validation], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@9fe8685 [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@3d72badd [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.05.10 12:20:41 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2023.05.10 12:20:41 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2023.05.10 12:20:42 INFO  web[][o.s.s.p.Platform] Web Server is operational
2023.05.10 14:21:38 WARN  web[][c.z.h.p.HikariPool] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h19m11s314ms453µs400ns).
2023.05.10 18:03:32 WARN  web[][c.z.h.p.HikariPool] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h3m54s945ms915µs300ns).
2023.05.10 21:43:40 WARN  web[][c.z.h.p.HikariPool] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h28m6s585ms279µs200ns).
